Title,Description
SunTrust reportedly will close 60 branches after merger,"SunTrust Banks (NYSE: STI) will close about 60 branches after the completion of its acquisition of Memphis, Tenn.-based National Commerce Financial Corp."
Trade group president blasts hedge funds #39; role in scandal,"BOSTON (CBS.MW) -- Mutual-fund companies will feel the impact of the improper trading scandal for years, the president of the industry #39;s trade group cautioned."
China Construction Valued at 194 Bln Yuan on Revamp (Update2),"China Yangtze Power Co., Shanghai Baosteel Group and State Grid Corp. will invest 8 billion yuan (\$964 million) in China Construction Bank in a reorganization valuing the nation #39;s third-largest lender at 194 billion yuan."
Todays Opec wields oil power with care,VIENNA: Oils record price surge has thrust the Organisation of Petroleum Exporting Countries (Opec) into the political spotlight more than any time since the 1970s.
Oracle Quarterly Income Rises 16 Percent (Reuters),"Reuters - Oracle Corp.  on Tuesday\reported a 16 percent rise in quarterly profit fueled by steady\demand for its flagship database software, but executives\warned that customers were still cautious about spending on\technology."
Some Firms Avoid Dent From Scandal (Investor's Business Daily),"Investor's Business Daily - Despite a year of negative headlines, the investing public doesn't understand the mutual fund scandal, couldn't care less and hasn't lost much confidence in the fund families where they invest, says a new study released this week."
Oracle Quarterly Income Rises 16 Percent," SAN FRANCISCO (Reuters) - Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; on Tuesday  reported a 16 percent rise in quarterly profit fueled by steady  demand for its flagship database software, but executives  warned that customers were still cautious about spending on  technology."
Production Quota Hike Opposed by OPEC Ministers,"Several OPEC members argued that the organization should raise its price band, but ministers remained deadset against hiking its official production quotas in a bid to stabilize the oil market."
Inflation rate rises for fourth month in a row,The rate of inflation rose in August for the fourth successive month as this year #39;s series of interest rate rises drove up the cost of buying a house.
"We #39;re sorry, Citigroup tells staff","Citigroup, the world #39;s biggest bank, yesterday issued an humiliating apology to its staff after a bond trading coup in August that sparked investigations by regulators across Europe."
Oracle seeks sales gain by wooing clients,"Oracle Corp Chief Executive Larry Ellison, who last week won a federal judge #39;s support for his US\$7.7 billion bid for PeopleSoft Inc, now needs to woo PeopleSoft customers to complete his plan to boost sales."
Citigroup memo apologised for bond trades,"Citigroup #39;s head of global capital markets, Thomas Maheras, sent a memo to employees apologising for a series of bond transactions last month which are now the subject of an investigation by the UK Financial Services Authority."
Retail Sales Down; Trade Gap Larger,"US retail sales dipped in August and the most comprehensive gauge of the US international trade gap widened to a record in the second quarter, government reports released on Tuesday showed."
Manpower survey: Hiring prospects look good but slowing,"Tightness in the labour market notwithstanding, the prospects for hiring in the third quarter are down from the second quarter, according to the new Manpower Employment Outlook Survey."
Brussels unveils plan to free-up market for car parts,"Plans to strip car makers of their exclusive right to sell spare parts such as bumpers, bonnets and headlights were outlined yesterday, as part of a drive to open up a 10bn market across Europe."
Tokyo Stocks Dip on Profit-Taking, TOKYO (Reuters) - Tokyo's Nikkei stock average fell 0.38  percent by mid-morning on Wednesday as investors took a  breather from the market's recent rises and sold shares of  gainers such as Sharp Corp.
Opec #39;s delicate balancing act,"The threat of \$50 a barrel for the New York price seemed very real last month, but in the end it turned out to be a near miss. Still, there is plenty for Opec to think about as the group #39;s energy ministers gather in Vienna."
"Canon, Toshiba to sell flat-panel TVs",Canon Inc. and Toshiba Corp. said Tuesday they will start selling large-screen flat-panel TVs next year that boast better images and consume less power than plasma display panels and liquid crystal displays.
"Wagoner: GM looking to cut costs, but nothing drastic on tap","Lagging sales and lower-to-flat net vehicle pricing has General Motors Corp. searching for ways to trim costs, but the world #39;s largest automaker doesn #39;t expect drastic operational changes "
Crude prices rise as Ivan halts production in Gulf of Mexico,Opec is under pressure to lift official production levels at a critical meeting today as global crude prices rose again on the back of pipeline attacks in Iraq and hurricanes heading for the Gulf of Mexico.
Vivendi Universal #39;s losses treble,"France #39;s largest media group, Vivendi Universal, yesterday revealed that first-half net losses had nearly trebled to 1.86bn (1."
EC takes on carmakers over parts,The European commission yesterday lambasted European carmakers for an unprecedented campaign to overturn its plans to throw open the 10bn (6.
"McDonald #39;s raises dividend 38pc, shares climb","LOS ANGELES: McDonald #39;s Corp yesterday raised its annual dividend 38 per cent, a move the world #39;s largest restaurant chain said is another sign of its revitalisation."
850 jobs hit as chiropody and dentistry are axed,Boots is to shut down its lossmaking dentistry and chiropody services as part of its drive to focus on its high street retail chain.
Founder's Son Resigns from Robert Mondavi," NEW YORK (Reuters) - Winemaker Robert Mondavi Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MOND.O target=/stocks/quickinfo/fullquote""&gt;MOND.O&lt;/A&gt;, in the process of recapitalizing by eliminating the  controlling voting rights of the Mondavi family, said on  Tuesday that Michael Mondavi had resigned as an officer and  vice chairman."
Snow Says China Trade Gap Too Big," NEW YORK (Reuters) - U.S. Treasury Secretary John Snow said  on Tuesday the U.S. trade deficit with China was too large,  less than a week after the government reported that the overall  U.S. trade gap hit its second-highest monthly level ever in  July."
Marchers demand James Hardie funds,"Union delegates, asbestos victims and workers are marching from Melbourne #39;s Trades Hall to the Stock Exchange, calling on James Hardie to provide sufficient funds for asbestos victims."
Nikkei Eases by Midday; Techs Wilt, TOKYO (Reuters) - Tokyo's Nikkei stock average fell 0.29  percent by midday on Wednesday as investors took a breather  from the market's recent rises and sold shares of gainers such  as Sharp Corp. and other technology issues.
"Studio Mogul Kerkorian And MGM, Off Again","On Monday, billionaire Kirk Kerkorian sold Metro-Goldwyn-Mayer Inc. for the third time. As a Hollywood reconciliation story, that means Kerkorian has bought and sold the venerable movie studio more times than Elizabeth Taylor married Richard Burton."
Federal Pension Agency Seeks More Power,The government's pension insurer said Tuesday that it wants the authority to place liens on the assets of companies in bankruptcy such as US Airways when those companies do not make required payments to their pension plans.
Regulation of Credit Rating Examined,"Expressing impatience with the Securities and Exchange Commission, lawmakers said in a hearing yesterday that they will act to force stronger oversight of the influential credit rating business if the agency doesn't soon move on its own."
Privacy Complaint Against Airline Dismissed,"Northwest Airlines did not violate its own privacy policy and did not mislead customers when it shared passenger records with the government as part of a secret airline security project after the terrorist attacks in 2001, the Department of Transportation has ruled."
U.S. Plans to Divert Iraq Money,"The Bush administration asked Congress on Tuesday for permission to transfer nearly \$3.5 billion from Iraqi water, sewer and electricity projects to pressing security, economic and electoral programs, acknowledging that increasing violence has forced a sharp shift in its rebuilding effort."
Hotel Talks Show Mixed Progress,"The hotel business in Washington has largely bounced back since Sept. 11, 2001, argue some of the 3,800 hotel workers threatening a strike, but not for them."
Claim Against AmeriDebt Advances IRS Crackdown,"The Internal Revenue Service has filed a \$15 million claim against  AmeriDebt Inc. of Germantown in anticipation that the controversial credit-counseling firm's tax-exempt status will be overturned, according to documents filed in federal bankruptcy court."
Stores' Closure Jilts Brides,"  Ski buff Ashleigh Strobel envisioned an early winter wonderland for her wedding next month: royal-blue and white snow globes as centerpieces at each table, snowflake-shaped cookie cutters as favors and, glimmering over everything, eight crystal chandeliers lighting the reception hall behind the Walkersville Fire House."
Yahoo to Buy Online Music Seller for \$160 Million,"In a move to expand its role in the online music business, Yahoo will buy Musicmatch, a company that sells music online, for \$160 million."
